0.00,11.00,13479.63,131.00,134.05
0.00,12.00,42022.47,140.00,137.55
0.00,10.00,38300.25,148.00,148.37
0.00,3.00,28912.41,141.00,142.65
0.00,9.00,37615.20,137.00,135.50
0.00,7.00,17440.01,132.00,138.31
0.00,4.00,11127.70,154.00,143.47
0.00,2.00,40385.82,133.00,134.23
0.00,13.00,42940.08,142.00,144.72
0.00,14.00,31351.14,140.00,137.36
0.00,6.00,3623.50,150.00,133.69
0.00,5.00,27817.59,135.00,137.17
0.00,8.00,23423.83,141.00,142.25
0.00,15.00,63759.03,134.00,132.45
0.00,1.00,9449.10,147.00,144.30
6.00,15.00,44605.16,139.00,136.24
6.00,11.00,16197.32,126.00,125.16
6.00,12.00,31384.54,139.00,137.36
6.00,9.00,22552.92,135.00,134.95
6.00,10.00,11194.57,138.00,130.21
6.00,13.00,23485.54,140.00,142.65
6.00,8.00,16031.04,141.00,140.45
6.00,14.00,35901.63,139.00,137.74
6.00,3.00,4601.63,145.00,132.63
6.00,6.00,4086.23,145.00,151.29
6.00,5.00,20053.68,134.00,136.24
6.00,1.00,2727.37,124.00,120.19
6.00,4.00,7575.13,148.00,141.44
6.00,2.00,7765.25,142.00,139.28
6.00,7.00,6958.03,139.00,138.31
12.00,3.00,14782.18,141.00,140.45
12.00,12.00,10170.80,135.00,131.06
12.00,8.00,23814.06,130.00,132.45
12.00,4.00,3147.19,124.00,120.05
12.00,7.00,3006.58,149.00,133.33
12.00,13.00,13515.97,138.00,142.45
12.00,10.00,8588.52,111.00,102.25
12.00,5.00,4307.45,139.00,139.47
12.00,11.00,13019.05,123.00,126.10
12.00,9.00,11828.48,126.00,126.10
12.00,6.00,3652.84,131.00,125.94
12.00,1.00,3108.50,130.00,133.69
12.00,14.00,8068.11,137.00,138.89
12.00,2.00,4756.56,139.00,136.24
12.00,15.00,9635.46,125.00,126.74
18.00,6.00,2622.23,138.00,136.80
18.00,4.00,3805.98,117.00,106.27
18.00,3.00,4993.12,136.00,133.69
18.00,15.00,10782.25,120.00,121.36
18.00,1.00,2315.63,149.00,131.41
18.00,8.00,13476.34,129.00,128.21
18.00,14.00,2885.36,146.00,75.08
18.00,10.00,12658.66,112.00,128.53
18.00,13.00,4861.48,144.00,151.98
18.00,2.00,1824.16,123.00,121.21
18.00,9.00,7530.22,124.00,127.71
18.00,7.00,6298.66,136.00,132.80
18.00,5.00,2951.58,132.00,126.90
18.00,11.00,11298.82,117.00,121.07
18.00,12.00,13941.14,119.00,118.48
24.00,11.00,4326.36,120.00,115.87
24.00,14.00,2621.83,142.00,121.80
24.00,5.00,5382.88,121.00,114.29
24.00,15.00,20524.06,117.00,114.55
24.00,2.00,8216.96,129.00,121.21
24.00,8.00,4162.34,94.00,84.67
24.00,1.00,1325.72,97.00,92.34
24.00,7.00,5919.60,119.00,118.20
24.00,4.00,7977.76,118.00,114.42
24.00,6.00,10850.20,122.00,120.92
24.00,13.00,5585.17,126.00,120.34
24.00,12.00,30516.49,116.00,112.23
24.00,9.00,12034.74,102.00,100.10
24.00,3.00,6798.23,127.00,122.10
24.00,10.00,6694.77,126.00,120.63
30.00,13.00,14815.32,97.00,101.01
30.00,4.00,4207.33,113.00,106.38
30.00,11.00,4650.62,106.00,106.72
30.00,2.00,5221.95,103.00,103.31
30.00,8.00,7778.36,110.00,105.26
30.00,9.00,10986.17,109.00,104.93
30.00,3.00,6335.88,114.00,104.17
30.00,6.00,7181.49,113.00,107.41
30.00,15.00,34335.59,114.00,111.48
30.00,10.00,12232.91,110.00,112.74
30.00,1.00,2827.12,112.00,99.90
30.00,5.00,8359.52,94.00,93.20
30.00,7.00,6107.87,109.00,102.77
30.00,12.00,23692.02,102.00,101.73
30.00,14.00,3993.86,114.00,102.25
36.00,8.00,14595.16,93.00,91.16
36.00,14.00,5662.11,116.00,111.48
36.00,10.00,9721.80,112.00,108.58
36.00,7.00,4034.05,95.00,88.65
36.00,1.00,6516.04,101.00,94.61
36.00,5.00,14050.58,100.00,98.33
36.00,15.00,9124.19,192.00,99.21
36.00,6.00,9869.48,104.00,101.01
36.00,13.00,31693.73,98.00,97.66
36.00,3.00,2860.08,163.00,88.26
36.00,11.00,9687.32,91.00,90.83
36.00,9.00,41765.43,102.00,100.40
36.00,12.00,3194.84,93.00,92.00
36.00,4.00,5727.34,105.00,104.17
36.00,2.00,34322.27,105.00,101.94
42.00,9.00,7048.68,92.00,88.97
42.00,4.00,1599.41,93.00,100.40
42.00,5.00,17598.47,93.00,92.51
42.00,15.00,26365.81,96.00,93.55
42.00,11.00,7987.01,97.00,94.43
42.00,13.00,6964.46,173.00,96.15
42.00,1.00,2753.29,104.00,101.11
42.00,8.00,27446.51,96.00,93.28
42.00,14.00,12445.99,98.00,96.34
42.00,6.00,1963.34,95.00,87.57
42.00,2.00,20102.76,99.00,96.06
42.00,12.00,15512.26,94.00,90.50
42.00,3.00,1919.97,87.00,90.83
42.00,7.00,6138.13,105.00,94.70
42.00,10.00,22787.81,94.00,92.76
48.00,1.00,1670.99,88.00,89.05
48.00,10.00,2373.49,92.00,86.13
48.00,5.00,19199.46,93.00,91.07
48.00,4.00,29006.23,99.00,97.09
48.00,2.00,14735.60,96.00,89.77
48.00,11.00,15656.91,90.00,91.32
48.00,7.00,5877.36,96.00,91.58
48.00,15.00,7253.50,92.00,91.83
48.00,12.00,15747.87,90.00,89.13
48.00,13.00,39185.29,89.00,90.09
48.00,3.00,6474.36,80.00,81.90
